"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","82/1179","160/18888",0.5125,8.21043256997455,23.6328982159218,9.3127235290137e-56,4.38163642040094e-52,4.20542988836513e-52,"RPL41/RPS27/RPL26/RPS14/RPS25/RPL15/RPL24/RPL7A/RPL34/RPL35A/FAU/RPL10/RPS27A/RPL5/RPL38/RPL17/RPL23/RPL3/RPS7/RPS4X/RPL6/RPS18/EIF4A2/RPS23/RPS26/RPL18/RPS24/RPL37/RPL32/RPS8/RPL11/RPL19/RPL18A/RPS15A/RPS21/RPS15/RPL7/RPL21/RPL30/RPL10A/RPS19/RPL9/RPS9/RPS3A/RPLP1/RPSA/RPLP2/RPL23A/RPS28/RPL8/RPS12/RPL12/RPL36A/RPL14/RPS3/RPL22/RPL13/YBX1/RPL29/RACK1/EIF2S2/RPL39/RPS13/RPL27/EIF5/RPS6/EIF3D/DENR/RPL28/NCBP1/EIF3F/RWDD1/RPS5/EIF2B1/RPLP0/RPL37A/RPS16/RPL35/RPL13A/RPS10/RPL4/SLBP",82
"GO:0006119","oxidative phosphorylation","48/1179","148/18888",0.324324324324324,5.19579121105839,13.2221264755186,3.08255662710583e-22,6.68095871313931e-19,6.4122854475905e-19,"COX7C/ATP5PF/CHCHD10/UQCRH/NDUFB8/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/ATP5PD/COX4I1/NDUFA12/SDHA/ANTKMT/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/ATP5MF/GHITM/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/UQCRB/COX5B/UQCRFS1/ATP5F1C/ATP5PB/UQCR10/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/UQCR11/NDUFA2/NDUFC2/DNAJC30/NDUFB11/NDUFS6/ATP5PO",48
"GO:0042254","ribosome biogenesis","72/1179","319/18888",0.225705329153605,3.6158797769748,12.1579467681712,4.25990991273495e-22,6.68095871313931e-19,6.4122854475905e-19,"RPS27/RPL26/RPS14/RPS25/RPL7A/RPP38/RPL35A/RPL10/RPL5/RPL38/RPS7/RPS4X/RPL6/RPS23/RPS24/WDR75/RPS8/RPL11/RPS15A/RPS21/RPS15/RPL7/RPL10A/RPS19/RPS9/RPS3A/RPSA/DDX18/RSL24D1/RPL23A/RPS28/RPS12/RBFA/C1orf131/RPL14/NPM1/WDR12/RPS13/WBP11/RPL27/EIF5/NGRN/GTPBP10/RPS6/WDR43/RAN/RBIS/WDR36/SNU13/RPS5/PA2G4/RPLP0/TMA16/TSR2/EIF2A/WDR3/RPS27L/RPS16/NOP9/RPL35/FRG1/ERI2/NOL7/TRMT112/C1QBP/POP7/MPHOSPH10/DDX31/PDCD11/NOA1/CINP/RIOK2",72
"GO:0009060","aerobic respiration","55/1179","199/18888",0.276381909547739,4.42773664761466,12.5424485354823,1.52569622429371e-21,1.79460018382548e-18,1.72243073742632e-18,"COX7C/ATP5PF/CHCHD10/UQCRH/NDUFB8/MDH1/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/ATP5PD/COX4I1/NDUFA12/SDHA/ANTKMT/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/ATP5MF/GHITM/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/UQCRB/COX5B/UQCRFS1/DLST/ATP5F1C/ATP5PB/UQCR10/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/UQCR11/MDH2/NDUFA2/NDUFC2/MDH1B/DNAJC30/FH/NDUFB11/NDUFS6/ATP5PO",55
"GO:0022613","ribonucleoprotein complex biogenesis","90/1179","499/18888",0.180360721442886,2.88944300815371,11.03688168216,3.33090870656026e-20,3.1343850928732e-17,3.00833649497758e-17,"RPS27/RPL26/RPS14/RPS25/RPL7A/RPP38/RPL35A/LUC7L2/RPL10/RPL5/RPL38/RPS7/RPS4X/RPL6/RPS23/RPS24/WDR75/RPS8/RPL11/RPS15A/SNRPA1/RPS21/RPS15/RPL7/RPL10A/RPS19/RPS9/RPS3A/RPSA/DDX18/SRSF10/RSL24D1/DDX1/RPL23A/RPS28/RPS12/RBFA/SF1/C1orf131/RPL14/NPM1/STRAP/SLU7/EIF2S2/WDR12/RPS13/WBP11/RPL27/EIF5/NGRN/GTPBP10/RPS6/WDR43/EIF3D/RAN/DENR/DDX20/RBIS/WDR36/NCBP1/EIF3F/SNU13/RPS5/PA2G4/RPLP0/TMA16/TSR2/EIF2A/WDR3/RPS27L/RPS16/NOP9/SNRPE/RPL35/FRG1/ERI2/RPL13A/NOL7/TRMT112/C1QBP/SNRPB2/SF3A1/POP7/MPHOSPH10/DDX31/KHDC4/PDCD11/NOA1/CINP/RIOK2",90
"GO:0015986","proton motive force-driven ATP synthesis","31/1179","76/18888",0.407894736842105,6.53461899022365,12.4743640341238,3.8729966818073e-18,3.03707489798389e-15,2.91493960788655e-15,"ATP5PF/NDUFB8/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NDUFB11/NDUFS6/ATP5PO",31
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","37/1179","112/18888",0.330357142857143,5.2924391130498,11.7558216943417,9.46307764843111e-18,5.96165804865179e-15,5.72191129900244e-15,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/TGFB1/NME2/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NME6/NDUFB11/NDUFS6/ATP5PO",37
"GO:0045333","cellular respiration","56/1179","245/18888",0.228571428571429,3.66179571065067,10.8203482093316,1.01367193175801e-17,5.96165804865179e-15,5.72191129900244e-15,"COX7C/ATP5PF/CHCHD10/UQCRH/NDUFB8/MDH1/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/ATP5PD/COX4I1/NDUFA12/SDHA/ANTKMT/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/ATP5MF/GHITM/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/UQCRB/COX5B/UQCRFS1/DLST/ATP5F1C/ATP5PB/UQCR10/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/UQCR11/MDH2/NDUFA2/NDUFC2/MDH1B/DNAJC30/FH/NDUFB11/NDUFS6/ATP5PO/PRELID1",56
"GO:0006754","ATP biosynthetic process","35/1179","101/18888",0.346534653465347,5.5516085959741,11.8341822125136,1.28873566638629e-17,6.22942850800214e-15,5.97891342901262e-15,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/TGFB1/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NDUFB11/NDUFS6/ATP5PO",35
"GO:0009145","purine nucleoside triphosphate biosynthetic process","37/1179","113/18888",0.327433628318584,5.24560336868653,11.6796557345852,1.32400180828951e-17,6.22942850800214e-15,5.97891342901262e-15,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/TGFB1/NME2/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NME6/NDUFB11/NDUFS6/ATP5PO",37
"GO:0042773","ATP synthesis coupled electron transport","35/1179","102/18888",0.343137254901961,5.49718106071945,11.7507252966821,1.84623313732249e-17,7.23877242591861e-15,6.94766680623992e-15,"COX7C/UQCRH/NDUFB8/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/COX4I1/NDUFA12/SDHA/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/GHITM/NDUFC1/NDUFS5/NDUFA7/PINK1/UQCRB/COX5B/UQCRFS1/UQCR10/NDUFB5/NDUFAB1/NDUFB4/UQCR11/NDUFA2/NDUFC2/NDUFS6",35
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","35/1179","102/18888",0.343137254901961,5.49718106071945,11.7507252966821,1.84623313732249e-17,7.23877242591861e-15,6.94766680623992e-15,"COX7C/UQCRH/NDUFB8/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/COX4I1/NDUFA12/SDHA/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/GHITM/NDUFC1/NDUFS5/NDUFA7/PINK1/UQCRB/COX5B/UQCRFS1/UQCR10/NDUFB5/NDUFAB1/NDUFB4/UQCR11/NDUFA2/NDUFC2/NDUFS6",35
"GO:0009201","ribonucleoside triphosphate biosynthetic process","37/1179","118/18888",0.313559322033898,5.0233320395049,11.3119145756121,6.67095884560215e-17,2.41437395142755e-14,2.31728044110391e-14,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/TGFB1/NME2/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NME6/NDUFB11/NDUFS6/ATP5PO",37
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","28/1179","67/18888",0.417910447761194,6.69507424708519,12.0491612965366,7.54527030833562e-17,2.53574977147993e-14,2.433775159606e-14,"ATP5PF/NDUFB8/NDUFA1/NDUFA5/ATP5PD/NDUFA12/SDHA/ANTKMT/NDUFB10/NDUFB2/ATP5MF/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NDUFB11/NDUFS6/ATP5PO",28
"GO:0009142","nucleoside triphosphate biosynthetic process","38/1179","126/18888",0.301587301587302,4.83153600710853,11.1342249599675,1.099810401403e-16,3.44973862573407e-14,3.31100815580271e-14,"ATP5PF/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/TBPL1/ATP5F1B/NDUFS5/NDUFA7/PINK1/TGFB1/NME2/ATP5F1C/ATP5PB/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/NDUFA2/NDUFC2/DNAJC30/NME6/NDUFB11/NDUFS6/ATP5PO",38
"GO:0042274","ribosomal small subunit biogenesis","34/1179","103/18888",0.330097087378641,5.28827293164357,11.259958894407,2.06930421480218e-16,6.08504770665267e-14,5.84033886940879e-14,"RPS27/RPS14/RPS25/RPS7/RPS4X/RPS23/RPS24/WDR75/RPS8/RPS15A/RPS21/RPS15/RPS19/RPS9/RPS3A/RPSA/RPS28/RPS12/C1orf131/NPM1/RPS13/RPS6/WDR43/WDR36/SNU13/RPS5/TSR2/WDR3/RPS27L/RPS16/NOP9/NOL7/MPHOSPH10/RIOK2",34
"GO:0019646","aerobic electron transport chain","32/1179","94/18888",0.340425531914894,5.45373829245845,11.1691566743407,5.74599744419902e-16,1.59028929264449e-13,1.5263361631959e-13,"COX7C/UQCRH/NDUFB8/COX6C/COX6B1/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/COX4I1/SDHA/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/NDUFC1/NDUFS5/NDUFA7/PINK1/UQCRB/COX5B/UQCRFS1/UQCR10/NDUFB5/NDUFAB1/NDUFB4/UQCR11/NDUFA2/NDUFC2/NDUFS6",32
"GO:0022904","respiratory electron transport chain","35/1179","123/18888",0.284552845528455,4.55863795279174,10.2165308622637,1.27957587683725e-14,3.34466916695514e-12,3.21016404188994e-12,"COX7C/UQCRH/NDUFB8/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/COX4I1/NDUFA12/SDHA/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/GHITM/NDUFC1/NDUFS5/NDUFA7/PINK1/UQCRB/COX5B/UQCRFS1/UQCR10/NDUFB5/NDUFAB1/NDUFB4/UQCR11/NDUFA2/NDUFC2/NDUFS6",35
"GO:1902600","proton transmembrane transport","38/1179","161/18888",0.236024844720497,3.78120209251972,9.14434818184158,6.3983500680171e-13,1.58443353000108e-10,1.52071588874201e-10,"ATP6V1D/ATP6AP2/ATP5PF/RNASEK/UQCRH/TMSB4X/COX6B1/NDUFA4/ATP5MC2/SLC25A5/COX7B/ATP5PD/COX4I1/ATP1A1/ANTKMT/ATP6V1F/ATP5MC1/COX15/ATP6V1G1/ATP5MC3/COX7A1/ATP5MF/GHITM/ATP6V1G2/ATP5F1A/ATP5F1B/SLC25A4/COX5B/UQCRFS1/ATP6AP1/ATP5F1C/ATP5PB/UQCR10/ATP5F1E/ATP6V1E1/ATP6V1E2/SLC15A4/ATP5PO",38
"GO:0009205","purine ribonucleoside triphosphate metabolic process","48/1179","244/18888",0.19672131147541,3.15154548867476,8.72805094004806,9.10342249445675e-13,2.14158014182095e-10,2.05545697374839e-10,"ATP5IF1/LDHA/ATP5PF/PGAM1/NDUFB8/TMSB4X/NDUFA1/NDUFA5/ATP5MC2/ATP5PD/ENO2/NDUFA12/SDHA/ANTKMT/ATP5MC1/ATP5MC3/NDUFB10/NDUFB2/ATP5MF/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/PRKAG1/NDUFS5/NDUFA7/PINK1/ZBTB7A/MFN1/TGFB1/RAN/NME2/ATP5F1C/ATP5PB/NDUFB5/HSPA8/ATP5F1E/NDUFAB1/NDUFB4/FIS1/NDUFA2/NDUFC2/DNAJC30/NME6/ALDOC/NDUFB11/NDUFS6/ATP5PO",48
"GO:0015980","energy derivation by oxidation of organic compounds","58/1179","338/18888",0.171597633136095,2.74905521176807,8.37203982955646,1.71119086702181e-12,3.83388239492268e-10,3.67970366893413e-10,"COX7C/ATP5PF/CHCHD10/UQCRH/NDUFB8/MDH1/COX6C/COX6B1/CHCHD2/NDUFA1/NDUFA4/NDUFA5/ISCU/COX7B/ATP5PD/COX4I1/NDUFA12/SDHA/ANTKMT/COX15/COX7A2/NDUFB10/NDUFB2/COX7A1/ATP5MF/GHITM/PRKAG2/ATP5F1A/NDUFC1/ATP5F1B/NDUFS5/NDUFA7/PINK1/PDHB/UQCRB/COX5B/UQCRFS1/DLST/ATP5F1C/ATP5PB/UQCR10/NDUFB5/ATP5F1E/NDUFAB1/NDUFB4/SUCLA2/UQCR11/MDH2/NDUFA2/NDUFC2/MDH1B/DNAJC30/PER2/FH/NDUFB11/NDUFS6/ATP5PO/PRELID1",58
